[2018-06-04 20:21:22,224] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:21:22,236] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:21:22,284] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:21:22,309] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:21:22,341] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:21:22,376] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:21:22,395] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:21:22,428] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:21:22,430] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:21:22,436] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:21:22,448] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:22:51,374] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:22:51,400] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:22:51,408] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:22:51,408] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:22:51,416] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:22:51,418] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:22:51,449] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:22:51,449] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:22:51,450] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:22:51,458] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:22:51,494] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:22:51,545] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:22:51,585] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:22:51,623] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:22:51,668] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:22:51,690] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:22:51,733] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:22:51,773] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:22:51,775] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:22:51,781] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:22:51,799] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:22:59,443] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:23:01,612] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:24:44,754] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-06 07:58:07,226] [WARNING] Not Found: /
[2018-06-06 07:58:12,344] [WARNING] Not Found: /s
[2018-06-06 07:58:32,507] [WARNING] Not Found: /
[2018-06-06 07:58:32,675] [WARNING] Not Found: /favicon.ico
[2018-06-06 12:21:06,168] [WARNING] Not Found: /adminj
[2018-06-06 16:22:36,268] [WARNING] Not Found: /admin/safdafd
[2018-06-06 16:24:52,967] [WARNING] Not Found: /admin/safdafd
[2018-06-06 16:24:53,175] [WARNING] Not Found: /admin/404/css/fourtofour.css
[2018-06-06 16:24:53,212] [WARNING] Not Found: /admin/404/css/d.css
[2018-06-06 16:24:53,270] [WARNING] Not Found: /admin/404/img/sor.png
[2018-06-06 16:24:53,286] [WARNING] Not Found: /admin/404/img/logo1.png
[2018-06-06 16:24:53,340] [WARNING] Not Found: /admin/404/img/banqiu.png
[2018-06-06 16:24:54,686] [WARNING] Not Found: /admin/404/js/jquery-3.3.1.min.js
[2018-06-06 16:24:54,797] [WARNING] Not Found: /admin/404/js/fourtofour.js
[2018-06-06 16:24:54,799] [WARNING] Not Found: /admin/404/img/raawa.png
[2018-06-06 16:24:54,869] [WARNING] Not Found: /admin/404/img/shia.png
[2018-06-06 16:24:55,481] [WARNING] Not Found: /admin/404/img/four.png
[2018-06-06 16:25:10,244] [WARNING] Not Found: /admin/safdafd
[2018-06-06 16:25:10,500] [WARNING] Not Found: /admin/404/css/fourtofour.css
